Product Name,Quantity Sold,Total Sales,
Brow Harmony Pencil & Gel,2,38.50,
Brow Pencil,1,13.48,
Face & Lip Contour Set,1,33.88,
Faux Filter Foundation,6,207.90,
Luxe Brow Power Brow Pencil,1,21.56,
Magic Star Concealer,3,62.37,
Neon Obsessions Palette,1,23.10,
Perfect Strokes Mascara,7,123.97,
Porefessional Primer,1,29.26,
Power Bullet Matte Lipstick,1,20.79,
Superhero Mascara,1,18.05,
They're Real! Magnet Mascara,5,123.20,
Tightline Lash Length Mascara,3,66.99,
Velour Lip Scrub,4,47.76,
Velour Liquid Lipstick,3,41.13,
Waterproof Lip Liner Stain,1,16.94,
